Rk,player,Nation,Pos,Squad,league,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Rk_sht,Nation_sht,Pos_sht,Age_sht,Born_sht,90s_sht,Gls_sht,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_sht,PKatt_sht,Matches_sht
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,20,13,1237,13.7,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,1,eng ENG,DF,23,2000,13.7,0,2,0,0.0,0.15,0.00,0.00,,0,0,Matches
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,30,14,1267,14.1,2,2,4,2,0,0,3,1,0.14,0.14,0.28,0.14,0.28,Matches,2,us USA,"MF,FW",22,2000,14.1,2,19,7,36.8,1.35,0.50,0.11,0.29,0,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,31,31,2781,30.9,4,0,4,3,1,1,5,0,0.13,0.00,0.13,0.10,0.10,Matches,5,ma MAR,DF,35,1987,30.9,4,22,8,36.4,0.71,0.26,0.18,0.50,1,1,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,6,gh GHA,MF,23,2000,16.9,0,5,0,0.0,0.30,0.00,0.00,,0,0,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,33,32,2860,31.8,2,1,3,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,Matches,8,fr FRA,MF,30,1993,31.8,2,26,11,42.3,0.82,0.35,0.08,0.18,0,0,Matches
9,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,20,2003,22,12,1044,11.6,5,0,5,5,0,0,1,0,0.43,0.00,0.43,0.43,0.43,Matches,9,fr FRA,"FW,MF",20,2003,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,0,0,Matches
10,Abner,br BRA,DF,Real Betis,es La Liga,23,2000,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,10,br BRA,DF,23,2000,15.6,0,4,0,0.0,0.26,0.00,0.00,,0,0,Matches
11,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,23,2000,13,9,754,8.4,3,0,3,2,1,1,2,0,0.36,0.00,0.36,0.24,0.24,Matches,11,ma MAR,"FW,MF",23,2000,8.4,3,28,8,28.6,3.34,0.95,0.11,0.38,1,1,Matches
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches,12,ma MAR,DF,24,1999,25.7,0,10,3,30.0,0.39,0.12,0.00,0.00,0,0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,29,26,2388,26.5,3,1,4,3,0,0,1,0,0.11,0.04,0.15,0.11,0.15,Matches,14,it ITA,DF,35,1988,26.5,3,15,6,40.0,0.57,0.23,0.20,0.50,0,0,Matches
16,Marcos Acuña,ar ARG,"DF,MF",Sevilla,es La Liga,31,1991,21,18,1292,14.4,1,2,3,1,0,0,7,0,0.07,0.14,0.21,0.07,0.21,Matches,16,ar ARG,"DF,MF",31,1991,14.4,1,9,4,44.4,0.63,0.28,0.11,0.25,0,0,Matches
17,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,32,27,2252,25.0,8,1,9,8,0,0,2,0,0.32,0.04,0.36,0.32,0.36,Matches,17,ng NGA,FW,23,2000,25.0,8,79,33,41.8,3.16,1.32,0.10,0.24,0,0,Matches
20,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,1993,20,8,801,8.9,1,2,3,1,0,0,2,0,0.11,0.22,0.34,0.11,0.34,Matches,20,am ARM,"FW,MF",30,1993,8.9,1,31,14,45.2,3.48,1.57,0.03,0.07,0,0,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,20,18,1617,18.0,2,0,2,2,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches,21,eng ENG,DF,25,1997,18.0,2,14,5,35.7,0.78,0.28,0.14,0.40,0,0,Matches
22,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,27,16,1419,15.8,10,0,10,10,0,0,1,0,0.63,0.00,0.63,0.63,0.63,Matches,22,eng ENG,FW,25,1998,15.8,10,30,14,46.7,1.90,0.89,0.33,0.71,0,0,Matches
23,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,21,10,913,10.1,3,1,4,3,0,0,6,1,0.30,0.10,0.39,0.30,0.39,Matches,23,de GER,"FW,MF",21,2002,10.1,3,23,10,43.5,2.27,0.99,0.13,0.30,0,0,Matches
24,Simon Adingra,ci CIV,MF,Brighton,eng Premier League,21,2002,31,25,2222,24.7,6,1,7,6,0,0,3,0,0.24,0.04,0.28,0.24,0.28,Matches,24,ci CIV,MF,21,2002,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,0,0,Matches
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,15,14,1243,13.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,25,gh GHA,DF,20,2002,13.8,0,4,0,0.0,0.29,0.00,0.00,,0,0,Matches
26,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,23,8,898,10.0,4,6,10,4,0,0,5,0,0.40,0.60,1.00,0.40,1.00,Matches,26,ma MAR,"MF,FW",23,2000,10.0,4,27,15,55.6,2.71,1.50,0.15,0.27,0,0,Matches
27,Yacine Adli,fr FRA,MF,Milan,it Serie A,23,2000,24,17,1407,15.6,1,2,3,1,0,0,3,0,0.06,0.13,0.19,0.06,0.19,Matches,27,fr FRA,MF,23,2000,15.6,1,4,1,25.0,0.26,0.06,0.25,1.00,0,0,Matches
30,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26,1997,36,26,2230,24.8,0,1,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,Matches,30,ch SUI,MF,26,1997,24.8,0,18,5,27.8,0.73,0.20,0.00,0.00,0,0,Matches
31,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26,1997,32,29,2596,28.8,1,1,2,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,Matches,31,ci CIV,DF,26,1997,28.8,1,33,7,21.2,1.14,0.24,0.03,0.14,0,0,Matches
33,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,2002,12,9,777,8.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,33,fr FRA,MF,21,2002,8.6,0,6,2,33.3,0.69,0.23,0.00,0.00,0,0,Matches
35,Felix Agu,ng NGA,MF,Werder Bremen,de Bundesliga,23,1999,24,19,1614,17.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,35,ng NGA,MF,23,1999,17.9,0,11,0,0.0,0.61,0.00,0.00,,0,0,Matches
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27,1996,21,21,1857,20.6,1,0,1,1,0,0,3,1,0.05,0.00,0.05,0.05,0.05,Matches,36,ma MAR,DF,27,1996,20.6,1,14,4,28.6,0.68,0.19,0.07,0.25,0,0,Matches
37,Ruben Aguilar,fr FRA,"MF,DF",Lens,fr Ligue 1,30,1993,25,22,1922,21.4,1,3,4,1,0,0,3,0,0.05,0.14,0.19,0.05,0.19,Matches,37,fr FRA,"MF,DF",30,1993,21.4,1,12,4,33.3,0.56,0.19,0.08,0.25,0,0,Matches
40,Anel Ahmedhodžić,ba BIH,DF,Sheffield United,eng Premier League,24,1999,31,29,2649,29.4,2,0,2,2,0,0,11,1,0.07,0.00,0.07,0.07,0.07,Matches,40,ba BIH,DF,24,1999,29.4,2,19,5,26.3,0.65,0.17,0.11,0.40,0,0,Matches
42,Ola Aina,ng NGA,"DF,MF",Nottingham,eng Premier League,26,1996,22,20,1692,18.8,1,1,2,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11,Matches,42,ng NGA,"DF,MF",26,1996,18.8,1,11,1,9.1,0.59,0.05,0.09,1.00,0,0,Matches
