player,squad,age,pos,min,gls_per90,ast_per90,xg_per90,xag_per90,sh_per90,sot_per90,prgc_per90,prgp_per90,tkl_per90,int_per90,clr_per90,blk_per90,aer_won_per90,saves_per90,psxg_net_per90,tm_match_name,actual_value_m,contract_years_left,age_clean,league_de Bundesliga,league_eng Premier League,league_es La Liga,league_fr Ligue 1,league_it Serie A,pos_clean_CAM,pos_clean_CB,pos_clean_CDM,pos_clean_CM,pos_clean_FULLBACK,pos_clean_GK,pos_clean_ST,pos_clean_WINGER,pos_clean,league,predicted_value_m,pred_value_low_m,pred_value_high_m,surplus_value_m
Brenden Aaronson,Leeds United,25.0,MF,2646.0,0.13429004015535514,0.1678625501941939,0.0,0.0,1.5779079718254228,0.5707326706602593,0.0,0.0,0.0,0.5707326706602593,0.0,0.0,0.0,0.0,0.0,Brenden Aaronson,22.0,1.0,25.0,False,True,False,False,False,True,False,False,False,False,False,False,False,CAM,eng Premier League,20.24,9.9,24.06,-1.76
Himad Abdelli,Marseille,26.0,MF,4299.0,0.16039972630205432,0.018617825374345594,0.1191540823958118,0.0595770411979059,1.0168196935219516,0.2950209251627071,1.9921073150549782,3.8538898524895377,0.8936556179685884,0.8492592651528412,0.5212991104816765,0.5771525866047135,0.0,0.0,0.0,Himad Abdelli,5.0,4.0,26.0,False,False,False,True,False,False,False,False,True,False,False,False,False,CM,fr Ligue 1,9.06,5.68,26.58,4.06
Matthis Abline,Monaco,23.0,FW,5524.0,0.23646703138496977,0.12309242729628563,0.11931327382666285,0.053340051828390446,2.5665850849409737,0.7687877915346963,1.0527641808234955,0.6737690757270373,0.15440541318744605,0.22135041750647855,0.5053268067952779,0.37899510509645845,0.0,0.0,0.0,Matthis Abline,20.0,2.0,23.0,False,False,False,True,False,False,False,False,False,False,False,True,False,ST,fr Ligue 1,15.01,7.27,30.53,-4.99
Abdel Abqar,Getafe,27.0,DF,3991.0,0.0,0.07259559277819728,0.018071668840529964,0.006023889613509989,0.4247614471064735,0.04633761241161529,0.3212741127205327,1.5862909315576303,0.7228667536211987,1.3082652570879383,2.931626278574861,0.12047779227019977,0.0,0.0,0.0,Abdel Abqar,3.5,2.0,27.0,False,False,True,False,False,False,True,False,False,False,False,False,False,CB,es La Liga,5.22,2.38,15.39,1.72
Ragnar Ache,Köln,28.0,FW,1910.0,0.3785632149125462,0.1851963929068571,0.0,0.0,2.4075531077891426,1.018580160987714,0.0,0.0,0.0,0.1851963929068571,0.0,0.0,0.0,0.0,0.0,Ragnar Ache,9.0,3.0,28.0,True,False,False,False,False,False,False,False,False,False,False,True,False,ST,de Bundesliga,8.55,6.49,14.6,-0.45
Akor Adams,Venezia,26.0,FW,3684.0,0.3491740787801778,0.09758576874205845,0.0931639135959339,0.01982210927573062,2.1362134688691232,1.035324015247776,0.21804320203303681,0.21804320203303681,0.07928843710292248,0.045743329097839895,0.11893265565438371,0.13875476493011435,0.0,0.0,0.0,Akor Adams,15.0,3.0,26.0,False,False,False,False,True,False,False,False,False,False,False,True,False,ST,it Serie A,17.31,8.97,28.96,2.31
Tyler Adams,Bournemouth,27.0,MF,4019.0,0.04991354842919126,0.10716732456855771,0.03053534727432878,0.019084592046455486,0.4213290705640557,0.18790982938048478,0.26718428865037686,1.4504289955306169,1.5840211398558055,1.3594101719244445,0.8015528659511304,0.26718428865037686,0.0,0.0,0.0,Tyler Adams,25.0,2.0,27.0,False,True,False,False,False,False,False,True,False,False,False,False,False,CDM,eng Premier League,22.8,10.71,32.36,-2.2
Junior Adamu,Schalke 04,25.0,MF,2131.0,0.12702268027702104,0.1861029966849378,0.21121213115830242,0.09216529359635015,1.7842255555190862,0.5730790691567926,0.30721764532116713,0.5376308793120426,0.3456198509863131,0.711917812715397,0.768044113302918,0.4608264679817507,0.0,0.0,0.0,Junior Adamu,3.0,3.0,25.0,True,False,False,False,False,True,False,False,False,False,False,False,False,CAM,de Bundesliga,4.65,3.1,14.19,1.65
Karim Adeyemi,Barcelona,24.0,MF,2874.0,0.5129491154477476,0.3816341418931242,0.14670344701805582,0.16004012401969728,2.308271019514864,0.9684479299653475,1.8137880722232358,0.7468539120919205,0.5334670800656575,0.4657577968265548,0.13336677001641437,0.5334670800656575,0.0,0.0,0.0,Karim Adeyemi,40.0,1.0,24.0,False,False,True,False,False,True,False,False,False,False,False,False,False,CAM,es La Liga,37.39,16.44,41.6,-2.61
Michel Aebischer,Union Berlin,29.0,MF,3912.0,0.023722401389233438,0.047444802778466875,0.00725626395435376,0.00725626395435376,0.6321322252542793,0.20931530637558918,0.14512527908707518,0.5986417762341851,0.32653187794591915,0.957268667824361,0.10884395931530637,0.07256263954353759,0.0,0.0,0.0,Michel Aebischer,4.0,3.0,29.0,True,False,False,False,False,False,False,False,True,False,False,False,False,CM,de Bundesliga,5.83,3.76,20.02,1.83
