player,market_value_m,position,current_club_id
Miroslav Klose,1.0,Attack,398
Roman Weidenfeller,0.75,Goalkeeper,16
Dimitar Berbatov,1.0,Attack,1091
Lúcio,0.2,Defender,506
Tom Starke,0.1,Goalkeeper,27
Dedê,0.4,Defender,825
Christoph Metzelder,1.5,Defender,33
Tomas Rosicky,0.35,Midfield,11
Marc Ziegler,0.2,Goalkeeper,79
Roque Santa Cruz,0.25,Attack,1084
Gerald Asamoah,0.1,Attack,33
Tamás Hajnal,0.1,Midfield,79
Sladan Peric,0.2,Defender,20100
Sérgio da Silva Pinto,0.15,Midfield,3368
Fabian Ernst,1.5,Midfield,10484
Tomas Ujfalusi,0.3,Defender,141
Benjamin Köhler,0.15,Midfield,24
Sebastian Kehl,1.0,Midfield,16
Levan Kobiashvili,0.4,Midfield,44
Oka Nikolov,0.35,Goalkeeper,24
Gerhard Tremmel,0.25,Goalkeeper,2288
Claudio Pizarro,0.4,Attack,86
Simon Jentzsch,0.3,Goalkeeper,167
Martin Stranzl,1.0,Defender,18
Aleksandr Hleb,0.15,Midfield,2696
Timo Hildebrand,0.75,Goalkeeper,24
Christian Vander,0.1,Goalkeeper,86
Martin Petrov,0.4,Attack,714
Ivan Klasnic,0.5,Attack,39
Simon Rolfes,2.0,Midfield,15
Giuseppe Gemiti,0.075,Defender,1210
Deniz Baris,0.3,Defender,589
David Jarolim,0.25,Midfield,14171
Hanno Balitsch,0.2,Midfield,4
Selim Teber,0.175,Midfield,1506
Thorben Marx,0.3,Midfield,18
Jens Langeneke,0.1,Defender,38
Heinz Müller,0.2,Goalkeeper,39
Ugur Inceman,0.05,Midfield,2293
Christian Weber,0.05,Defender,38
Manuel Friedrich,0.5,Defender,16
Andriy Voronin,0.5,Attack,121
Julian de Guzmán,0.25,Midfield,128
Emanuel Pogatetz,0.2,Defender,4
Peer Kluge,0.125,Midfield,44
Thomas Kleine,0.25,Defender,65
Sven Neuhaus,0.2,Goalkeeper,41
Matthias Lehmann,0.25,Midfield,3
Nikolce Noveski,0.5,Defender,39
Christofer Heimeroth,0.1,Goalkeeper,18
Raphael Schäfer,0.2,Goalkeeper,4
Javier Zanetti,1.0,Defender,46
Peter Graulund,0.25,Attack,678
Michael Ratajczak,0.05,Goalkeeper,127
